Order ID,Order Date,Customer Name,Country,Product,Quantity,Sales Amount
1,2024-09-18,Noah Wilson,Australia,Smartwatch,1,73228
2,2024-06-23,John Smith,Germany,Tablet,3,235185
3,2024-03-29,Olivia Davis,UK,Tablet,4,106524
4,2024-02-17,Noah Wilson,Australia,Tablet,1,36868
5,2024-01-25,Sophia Brown,Australia,Headphones,5,133555
6,2024-09-19,Sophia Brown,Germany,Mobile,2,93228
7,2024-12-23,Noah Wilson,Australia,Headphones,5,223530
8,2024-03-17,Olivia Davis,UK,Headphones,5,126330
9,2024-01-12,Olivia Davis,India,Laptop,1,12857
10,2024-11-12,Noah Wilson,Germany,Tablet,2,62094
11,2024-03-14,John Smith,Australia,Laptop,3,69135
12,2024-03-31,Rahul Verma,Germany,Smartwatch,3,31854
13,2024-05-16,Olivia Davis,USA,Tablet,3,113190
14,2024-03-11,Olivia Davis,UK,Laptop,4,129112
15,2024-04-29,Emma Watson,UK,Headphones,3,185454
16,2024-10-11,Emma Watson,USA,Laptop,3,90057
17,2024-01-20,Sophia Brown,India,Smartwatch,1,64935
18,2024-04-18,Sophia Brown,UK,Tablet,2,17444
19,2024-05-29,Emma Watson,UK,Tablet,5,263465
20,2024-03-26,Olivia Davis,India,Smartwatch,1,32490
21,2024-02-04,Noah Wilson,USA,Tablet,2,64534
22,2024-03-16,Sophia Brown,UK,Smartwatch,1,68335
23,2024-05-26,John Smith,Australia,Smartwatch,5,235825
24,2024-04-10,Emma Watson,UK,Laptop,3,237087
25,2024-09-21,Liam Johnson,USA,Headphones,3,223140
26,2024-10-24,Emma Watson,Australia,Tablet,4,80764
27,2024-08-20,John Smith,USA,Tablet,2,28492
28,2024-12-23,Olivia Davis,Australia,Tablet,5,309140
29,2024-02-17,Noah Wilson,USA,Mobile,5,358610
30,2024-08-12,John Smith,USA,Laptop,2,111416
31,2024-09-17,Emma Watson,USA,Headphones,5,155645
32,2024-02-29,Emma Watson,Germany,Smartwatch,4,203876
33,2024-11-09,Noah Wilson,USA,Smartwatch,3,77829
34,2024-09-15,John Smith,USA,Tablet,3,182991
35,2024-06-09,Rahul Verma,USA,Mobile,5,119160
36,2024-06-26,John Smith,India,Mobile,4,242860
37,2024-07-19,Olivia Davis,UK,Mobile,1,43776
38,2024-11-24,Amit Sharma,UK,Mobile,4,198608
39,2024-05-23,Amit Sharma,USA,Mobile,3,200532
40,2024-11-23,Rahul Verma,Australia,Headphones,3,146193
41,2024-02-14,Noah Wilson,UK,Laptop,4,260532
42,2024-12-20,Sophia Brown,India,Mobile,2,40562
43,2024-05-14,Noah Wilson,Germany,Smartwatch,5,197150
44,2024-10-30,Sophia Brown,USA,Smartwatch,4,112728
45,2024-08-10,Noah Wilson,Australia,Mobile,1,44705
46,2024-06-29,Sophia Brown,USA,Headphones,5,293145
47,2024-05-02,Rahul Verma,Germany,Laptop,1,5791
48,2024-04-24,Noah Wilson,Germany,Tablet,2,61778
49,2024-01-24,Sophia Brown,India,Smartwatch,5,162330
50,2024-06-26,Rahul Verma,Australia,Smartwatch,1,39229
51,2024-01-01,Noah Wilson,USA,Laptop,5,185885
52,2024-11-22,Olivia Davis,USA,Tablet,1,9814
53,2024-10-11,Sophia Brown,Germany,Tablet,5,134330
54,2024-12-14,Noah Wilson,USA,Mobile,4,303644
55,2024-11-11,Sophia Brown,India,Smartwatch,5,372840
56,2024-01-27,Olivia Davis,UK,Mobile,5,80645
57,2024-09-01,Olivia Davis,Australia,Mobile,3,112809
58,2024-02-26,Olivia Davis,Australia,Mobile,3,181239
59,2024-07-08,Emma Watson,USA,Headphones,1,59463
60,2024-02-12,Liam Johnson,India,Mobile,2,28598
61,2024-09-02,Olivia Davis,Germany,Smartwatch,4,71944
62,2024-05-05,Emma Watson,USA,Headphones,5,329365
63,2024-01-21,Liam Johnson,India,Tablet,1,61101
64,2024-02-09,Emma Watson,India,Tablet,5,118290
65,2024-09-08,Liam Johnson,USA,Headphones,1,7128
66,2024-05-03,Emma Watson,USA,Tablet,2,93510
67,2024-04-16,John Smith,India,Laptop,2,59412
68,2024-02-24,John Smith,Germany,Tablet,3,55554
69,2024-10-04,Liam Johnson,UK,Laptop,4,92868
70,2024-06-30,Amit Sharma,Australia,Tablet,5,309890
71,2024-12-11,Olivia Davis,India,Tablet,5,59860
72,2024-07-07,Olivia Davis,UK,Tablet,5,33710
73,2024-05-14,Sophia Brown,UK,Headphones,1,13551
74,2024-08-20,Liam Johnson,Australia,Mobile,1,72750
